project_id;id;priority;status;short_desc;type;Reliability;Maintainability;Usability;Portability;Security;Performance;Other
DROOLS_PROJECT-286;JBRULES-2916;Major;Closed;Unsupported Operation Exception crash due to (invalid) multi-restriction;Reliability;1;0;0;0;0;0;0
DROOLS_PROJECT-287;DROOLS-1503;Major;Resolved;Errors when parsing item definition allowed values are not reported;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-288;DROOLS-1192;Major;Closed;DialectUtil.normalizeRuleName() doesnt normalize multibyte rule names;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-289;DROOLS-27;Major;Resolved;NPE ClassTypeResolver.resolveType;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-290;JBRULES-904;Major;Closed;ArrayIndexOutOfBoundsException in org.drools.util.TupleIndexHashTable.toArray;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-291;DROOLS-11;Major;Resolved;ArrayIndexOutOfBoundsException when calling a method with more than two varargs parameters;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-292;DROOLS-410;Major;Resolved;Drools invokes superclass static method;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-293;JBRULES-3186;Major;Closed;Open Queries called from Closed queries would null pointer;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-294;JBRULES-92;Major;Resolved;outline view not showing when using multipage form;Usability;0;0;1;0;0;0;0
DROOLS_PROJECT-295;JBRULES-276;Minor;Resolved;Extra newline needed when haveing nested brackets;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-296;DROOLS-713;Minor;Resolved;Guvnor/BRMS not converting freeform DRL val == $var + 1 correctly;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-297;DROOLS-1094;Major;Resolved;OptaPlanner Kie server service: unable to retrieve best solution;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-298;JBRULES-1247;Major;Closed;Bug during rule parsing;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-299;JBRULES-555;Minor;Resolved;Old versions of jdt.core might be used in classpath instead of new required ones;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-300;DROOLS-1142;Major;Resolved;Attempted reload of persisted KieSession operating in STREAM mode throws Exceptions;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-301;DROOLS-274;Major;Resolved;KnowledgeAgent loops when resources are removed from a monitored folder;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-302;DROOLS-600;Major;Resolved;ClassCastException when using FactTemplates;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-303;DROOLS-140;Major;Resolved;KIE module injection through CDI does not work in container;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-304;DROOLS-1258;Optional;Resolved;drools-examples games invaders build up a fade gui in windows 8.1 10;Portability;0;0;0;1;0;0;0
DROOLS_PROJECT-305;JBRULES-2726;Major;Resolved;Missing g xml namespace;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-306;DROOLS-1375;Minor;Resolved;TemplateModel.addRow() throws IlegalArgumentException with incorrect count;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-307;DROOLS-852;Blocker;Resolved;Unable to save drl file using drlDumper when drl contains a BehaviorDescrBuilder for sliding time windows;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-308;JBRULES-2369;Major;Closed;Subtle interaction between modify and no-loop causes dormant activations counter to get out of synch;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-309;JBRULES-2500;Major;Closed;Soundslike throws NullPointerException when one argument contains no consonants;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-310;DROOLS-36;Minor;Resolved;Handle Trait donning when statically implementing the trait interface;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-311;JBRULES-1287;Major;Resolved;Use of reserved word as bound variable in a pattern results as NPE;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-312;JBRULES-3502;Major;Resolved;Deadlock trying to do concurrent insertions on the same KnowledgeSession;Performance;0;0;0;0;0;1;0
DROOLS_PROJECT-313;JBRULES-3246;Blocker;Resolved;Traiting fails when used with EQUALITY assert behaviour;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-314;JBRULES-3111;Blocker;Closed;Regression: constraint comparing nested accessor to true fires when false  ;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-315;DROOLS-244;Major;Resolved;Sliding windows working incorrectly when timestamp attribute is defined;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-316;DROOLS-1077;Major;Closed;POST/containers/{id} is outdated;Usability;0;0;1;0;0;0;0
DROOLS_PROJECT-317;DROOLS-1129;Major;Resolved;sgi bundle have wrong metadata info;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-318;DROOLS-351;Major;Resolved;KIE FileSystem resource type overriding does not work as reported by documentation;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-319;DROOLS-882;Major;Resolved;Variable on left of matches operator causes unable to resolve method error;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-320;JBRULES-125;Blocker;Resolved;Cant put local variable declarations in a consequence;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-321;JBRULES-2602;Major;Resolved;IntermediateCatchEvent node duplicated at runtime when used inside a subprocess;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-322;DROOLS-1530;Blocker;Resolved;Regression due to accumulate reverse() fix;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-323;JBRULES-421;Trivial;Closed;Unnecessary Intern on String Literal in PackageBuilder;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-324;JBRULES-2516;Major;Resolved;Ruleflow rule task nodes not transitioning to next node with Stateless Sessions;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-325;JBRULES-1149;Major;Closed;Parser is only saving last CE for prefixed AND/OR ;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-326;DROOLS-1056;Minor;Resolved;QueryDataServiceIntegrationTest fails for MySQL5.5;Portability;0;0;0;1;0;0;0
DROOLS_PROJECT-327;JBRULES-1044;Major;Resolved;dialect appears to be a reserved keyword  not allowed in package name;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-328;JBRULES-2863;Critical;Closed;Tuple is null when firing an activation;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-329;JBRULES-3214;Major;Resolved;Timers do not work properly with timezones west of GMT;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-330;DROOLS-731;Major;Resolved;In a catch22 using a NOT constraint in rules shared by multiple facts;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-331;JBRULES-1819;Major;Closed;cannot retrieve rules from guvnor via ruleagent;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-332;JBRULES-2263;Major;Closed;Synchronization issues and performance improvements;Performance;0;0;0;0;0;1;0
DROOLS_PROJECT-333;JBRULES-1013;Major;Closed;Two functions with Janino compiler end up with out of memory error;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-334;JBRULES-2433;Major;Closed;Facts with event roles in process constraints cause exception;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-335;JBRULES-1170;Major;Closed;ClassCastException using dynamic salience;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-336;JBRULES-1415;Major;Closed;Certain uses of from causes NullPointerException in WorkingMemoryLogger;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-337;JBRULES-3452;Major;Resolved;Bugs when refactoring class and field names in the eclipse plugin;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-338;DROOLS-1399;Minor;Resolved;Comparison of DRL changes should not consider spaces during incremental compilation;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-339;JBRULES-1684;Major;Closed;Package merging is incorrect for dialects;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-340;DROOLS-1462;Major;Resolved;not( null ) unary test not working;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-341;DROOLS-281;Critical;Resolved;No reevaluation of from collect is performed;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-342;JBRULES-759;Major;Resolved;CLONE Unable to add package after it was added and removed;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-343;DROOLS-1465;Major;Resolved;not() unary test is short circuiting in the presence of null;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-344;DROOLS-1149;Major;Closed;Missing dependencies in new jBPM project;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-345;DROOLS-109;Major;Resolved;DRLDumper does not handle nested and/ors correctly;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-346;DROOLS-570;Major;Resolved;Rule inheritance fails when using or pattern binding;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-347;JBRULES-3403;Minor;Resolved;drools-camel-server-5.3.x.Final.war - strict web application container will throw validation errors on web.xml;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-348;JBRULES-2199;Major;Resolved;NullPointerException with JPA session persistence in Drools Flow;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-349;JBRULES-1341;Major;Closed;Analytics fails on Inner Class Enums;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-350;JBRULES-3455;Major;Resolved;Generated DRL uses deprecated # comment identifier;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-351;JBRULES-2559;Major;Closed;Problem with Collect statement from a source that is a previous declaration after an ORd group in MVEL dialect;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-352;JBRULES-1435;Major;Closed;NPE if rule checks a Long field for null  and a fact is passed in with Long field that is NOT null.;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-353;JBRULES-2756;Major;Closed;fireUntilHalt is doing busy wait and consuming 100% of one CPU core;Performance;0;0;0;0;0;1;0
DROOLS_PROJECT-354;JBRULES-2527;Minor;Closed;NullPointerException during rule compilation on entry.getValue().getExtractor().getExtractToClass() instead of clear  understandable compiler error because the getter doesnt exist;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-355;JBRULES-3119;Major;Closed;Timestamp and Duration no longer work with complex expressions;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-356;JBRULES-988;Major;Resolved;Error in querydescriptor dumper for drl;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-357;DROOLS-68;Major;Resolved;Rules evaluation fails after several iterations  when number comparsion is done with quote surrounded values;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-358;DROOLS-910;Major;Closed;Kie Navigator Server Property dialog does not save user creds;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-359;DROOLS-13;Major;Resolved;OTN id generation doesnt take count of inheritance;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-360;JBRULES-1166;Critical;Closed;BRL not rendering inpattern eval() correctly (for a predicate);FR;0;0;0;0;0;0;1
DROOLS_PROJECT-361;JBRULES-1314;Major;Closed;Error parsing rule that is written in a single line;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-362;JBRULES-3107;Major;Resolved;java.lang.ClassCastException: org.drools.audit.WorkingMemoryFileLogger cannot be cast to org.drools.event.rule.AgendaEventListener;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-363;DROOLS-1512;Major;Resolved;Nullpointer exception when running a decision table with null as the input;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-364;DROOLS-285;Major;Resolved;JtaTransactionSynchronizationAdapter contains infite loop;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-365;JBRULES-579;Major;Closed;NPE when imports not available;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-366;JBRULES-140;Major;Resolved;Cursor potion after creating a rule template should be in the name;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-367;JBRULES-122;Major;Resolved;Parser is  not picking up boolean values  as literals;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-368;JBRULES-1441;Major;Closed;ClassTypeResolver failling badly when trying to load a non existing simple name;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-369;JBRULES-3195;Major;Resolved;Incorrect and inconsistent errors for x.y and y.getY() in constraint expressions;Reliability;1;0;0;0;0;0;1
DROOLS_PROJECT-370;DROOLS-209;Major;Resolved;NoSuchMethodException when traiting a legacy class without a default constructor;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-371;JBRULES-308;Major;Closed;Binding to an existing declaration should throw an error;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-372;DROOLS-358;Major;Resolved;KieModule resulting from an incremental compilation cannot be used to update a KieContainer;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-373;DROOLS-753;Major;Resolved;org.drools.core.common.DefaultFactHandle cannot be cast to org.drools.core.common.EventFactHandle;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-374;DROOLS-378;Major;Resolved;Do not refire rules on unblock;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-375;DROOLS-1185;Blocker;Resolved;Drool Modify operator causing ClassCastException;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-376;JBRULES-3697;Major;Resolved;git-clone-others.sh script should work on Mac too;FR;0;0;0;1;0;0;1
DROOLS_PROJECT-377;DROOLS-1436;Major;Resolved;Unable to create runtime for the attached DMN model;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-378;JBRULES-3590;Major;Resolved;ClassCastException in RuleTerminalNode.retractLeftTuple();FR;0;0;0;0;0;0;1
DROOLS_PROJECT-379;DROOLS-107;Major;Resolved;NPE when inserting through rule (object already present as derived class);FR;0;0;0;0;0;0;1
DROOLS_PROJECT-380;JBRULES-1048;Critical;Resolved;Context assist is not working for DSLs in Eclipse;FR;0;0;0;1;0;0;1
DROOLS_PROJECT-381;JBRULES-3422;Major;Resolved;Timer-based rules fire even when the engine is halted();Performance;0;0;0;0;0;1;0
DROOLS_PROJECT-382;DROOLS-1405;Critical;Resolved;Drools compiler throws NPE on DRL save when more than one rule extends same rule in the same package;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-383;JBRULES-3642;Major;Resolved;A constraint in the form lowerBuond < value < upperBound should cause a compilation error when ;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-384;JBRULES-1676;Major;Closed;Importing of nested classes more than one level deep does not work;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-385;JBRULES-2071;Major;Resolved;MVEL debug not working anymore;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-386;DROOLS-1000;Major;Resolved;Race condition occured when executing Drools;Reliability;1;0;0;0;0;0;0
DROOLS_PROJECT-387;JBRULES-3482;Major;Resolved;accumulate with an and predicate followed by an or causes a bogus ClassCast exception;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-388;JBRULES-3616;Major;Resolved;ConcurrentModificationException in AbstractRuleBase.removePackage;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-389;DROOLS-560;Major;Closed;KieContainer#updateToVersion fails when both versions of a drl file contain an event type declaration for an existing class;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-390;JBRULES-3087;Major;Resolved;NPE in PatternBuilder due to missing field position numbers;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-391;JBRULES-970;Critical;Closed;filter of results from a from ce not working;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-392;JBRULES-1276;Major;Resolved;Drools toolbar should not appear in all perspectives and should reuse the standard new dropdown;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-393;DROOLS-326;Major;Resolved;Drools plugin Rete Tree viewer does not work with Conditional Named Consequence expressions;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-394;DROOLS-162;Minor;Resolved;Unsupported Polymorphic declarations are not detected until runtime;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-395;JBRULES-123;Critical;Resolved;Inheritied fields not being picked up;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-396;DROOLS-849;Major;Resolved;StringIndexOutOfBoundsException in readFromJar;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-397;JBRULES-909;Major;Closed;java.lang.ClassCastException: org.drools.rule.AbstractCompositeConstraint$MultiFieldOrConstraintContextEntry;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-398;DROOLS-1392;Major;Resolved;Boolean cells in decision tables are not correctly formatted with Apache POI 3.15;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-399;JBRULES-1817;Major;Closed;FactTemplateFieldExtractor must implement equals() method;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-400;JBRULES-77;Major;Resolved;Basic Bindings Fail;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-401;JBRULES-2785;Critical;Closed;Documentation fixes w.r.t. events ;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-402;DROOLS-82;Major;Resolved;unbalanced braces error when performing equalsIgnoreCase where LHS contains !. operator;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-403;JBRULES-146;Blocker;Resolved;Null handling just not working;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-404;DROOLS-216;Minor;Resolved;Map accessors and custom evaluators do not work together;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-405;JBRULES-426;Major;Resolved;Memory leak in RuleHelperActionDelegate;Performance;0;0;0;0;0;1;0
DROOLS_PROJECT-406;JBRULES-3116;Major;Resolved;Performance Regression due to mvel ParserContext now set resulting in CompositeClassLoader loads;Performance;0;0;0;0;0;1;0
DROOLS_PROJECT-407;JBRULES-2876;Major;Resolved;Table names specified in hibernate annotations are too long for oracle.;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-408;JBRULES-113;Major;Resolved;Outline view not navigating to correct lines;Usability;0;0;1;0;0;0;0
DROOLS_PROJECT-409;JBRULES-2072;Major;Resolved;Updating a fact within a rule fails unless the fact is explicitly declared in the LHS of the rule;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-410;DROOLS-246;Minor;Resolved;Ensure traitable classes are declared as @Traitable;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-411;JBRULES-3684;Minor;Resolved;MVEL is having issues resolving a generic member in a concrete type;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-412;JBRULES-2879;Major;Resolved;Exception when type empty in Convering Gateway;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-413;DROOLS-421;Critical;Resolved;EvaluatorWrapper does not resolve the right handle correctly;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-414;DROOLS-100;Major;Resolved;DRL compiler accepts rules extending non-existing rules;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-415;DROOLS-121;Critical;Resolved;Circular dependencies are not detected in declared types;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-416;JBRULES-3147;Major;Resolved;Regression: all uppercase field reference results in compile error;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-417;JBRULES-2362;Major;Closed;MVELDialect incorrect pakage imports setup;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-418;JBRULES-940;Major;Resolved;Apply v4.0 API changes to IDE example code;Maintainability;0;0;0;0;0;0;1
DROOLS_PROJECT-419;JBRULES-2154;Major;Closed;equality assertion behavior not supported in streams;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-420;DROOLS-446;Major;Resolved;Literals may be ambiguously resolved as classes on case insensitive filesystems;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-421;DROOLS-493;Major;Resolved;Error to declare Map/List with generics when having a modify() on RHS;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-422;JBRULES-3534;Major;Resolved;DSL expander causes a StackOverflowError on Solaris;Portability;0;0;0;1;0;0;0
DROOLS_PROJECT-423;DROOLS-1562;Major;Resolved;NPE when creating KieModuleMetaData with wrong release id;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-424;DROOLS-1007;Major;Closed;ArrayIndexOutOfBoundsException attempting to remove a rule containing a OR;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-425;DROOLS-96;Major;Resolved;Unification Iterator is broken;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-426;JBRULES-1506;Major;Closed;RuleAgent will not read binary packages from Apache HTTP Server;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-427;JBRULES-3197;Major;Resolved;simple declaration flagged in RHS code  dialect mvel;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-428;DROOLS-501;Critical;Resolved;Propagation context is not set correctly when nodes are shared;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-429;DROOLS-546;Major;Resolved;FactType.get/set throws an NPE for unknown fields;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-430;DROOLS-150;Major;Resolved;Cannot declare an inner class type when the type is used in a rule;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-431;JBRULES-848;Major;Closed;Compilation failures due to illegal UTF8 characters;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-432;JBRULES-557;Major;Resolved;Dynamically generated classes not accessed by drools classloader;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-433;DROOLS-463;Minor;Resolved;Add more information for 4.2.2.3. Building with Maven section;Usability;0;0;1;0;0;0;0
DROOLS_PROJECT-434;JBRULES-3677;Major;Resolved;Duplicated main agenda group on session reset;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-435;JBRULES-953;Major;Resolved;memberOf and not memberOf not working;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-436;JBRULES-1031;Major;Resolved;only 4 equality checks are made for fact;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-437;JBRULES-1647;Major;Closed;Incorrect reporting by verifier of unmatchable pattern with connective OR;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-438;DROOLS-45;Major;Resolved;Compilation failure caused by a CCE when building a rule with a unification in the LHS;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-439;JBRULES-2241;Major;Closed;SAXParseException : <constraint> requires a toType attribute;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-440;JBRULES-2836;Major;Resolved;Nested conditional expression (x?y:z) does not resolve variable binding;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-441;JBRULES-372;Major;Closed;QueryResult.get fires ClassCastException when using the string argument;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-442;JBRULES-3031;Major;Resolved;Insert Command cause problems with the fact handle is disconnected;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-443;JBRULES-114;Minor;Resolved;Want to be able to use ; to seperate elements on the LHS inline. Doesnt seem to allow it.;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-444;DROOLS-134;Blocker;Resolved;Metadata inheritance is not resolved correctly when typeDeclarations are created implicitly;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-445;JBRULES-3384;Minor;Resolved;Declared beans constructor-by-key-fields does not initialize the other fields to their default value;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-446;JBRULES-2155;Major;Resolved;Make parsing of bendpoints more error-safe;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-447;DROOLS-392;Major;Resolved;KIE APIs do not allow to configure the Belief System type;Usability;0;0;1;0;0;0;0
DROOLS_PROJECT-448;DROOLS-970;Major;Closed;Missing date coercion in constraint using an instance field or a declaration;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-449;DROOLS-1156;Major;Resolved;drools-worker threads are created but not cleaned up ;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-450;JBRULES-945;Minor;Closed;Cant passivate WorkingMemory with JBoss cache because ActivationGroupImpl is not serializable;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-451;JBRULES-1994;Major;Resolved;DSL cant support Chinese characters problem;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-452;JBRULES-2093;Major;Closed;Improve handling of value coercion into BigDecimal and BigInteger;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-453;JBRULES-2028;Major;Closed;RuleBaseEventSupport is not thread safe;Reliability;1;0;0;0;0;0;0
DROOLS_PROJECT-454;DROOLS-283;Major;Resolved;SegmentMemory staged LeftTuples not always accessed correctly;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-455;DROOLS-1031;Minor;Resolved;Rule that extends some rule still fires with old facts when parent rule is changed at runtime;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-456;DROOLS-196;Major;Resolved;NPE when used Timers with temporal operators in the LHS pattern;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-457;JBRULES-862;Major;Closed;CastException;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-458;JBRULES-1315;Major;Closed;Rule that uses a collect and from clause together causes problem;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-459;JBRULES-778;Major;Closed;column fact handle used in consequences even for field bindings;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-460;DROOLS-193;Major;Resolved;KnowledgeBuilderResult does not always contain a Resource;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-461;JBRULES-3101;Major;Resolved;Right Input triggering doesnt work for Queries;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-462;JBRULES-2718;Major;Resolved;Ruleflows are not working correctly in Stateless session;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-463;DROOLS-1320;Major;Resolved;OSGi drools-compiler uses wrong package name to import kie-ci;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-464;JBRULES-2606;Major;Resolved;Version the drools-spring xsd;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-465;JBRULES-3080;Major;Resolved;Compilation of rules should fail when is not used quotes in a String attribute;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-466;DROOLS-547;Major;Resolved;Queries should check the type of input arguments;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-467;JBRULES-2589;Major;Resolved;running HonestPolitician from a Maven created eclipse project for drools-examples-drl NoClassDefFoundError: XStream;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-468;JBRULES-440;Major;Resolved;Unable remove a rule package when it was added after it has been added and removed;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-469;JBRULES-1071;Minor;Closed;BinaryRuleBaseLoader doesnt accept custom ClassLoader;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-470;JBRULES-2713;Major;Resolved;org.xml.SAXParseException: The prefix g for attribute g:ruleFlowGroup associated with an element type business RuleTask is not bound.;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-471;JBRULES-3358;Major;Closed;Fix reload of KnowledgeAgent resources: CSV  XLS  BPMN  DRF  PKG;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-472;JBRULES-2005;Major;Closed;Using the from syntax in the when clause when running the Drools Application in debug mode takes longer than normal. ;Performance;0;0;0;0;0;1;0
DROOLS_PROJECT-473;DROOLS-740;Major;Resolved;NoSuchMethodError at runtime while evaluating String and Long;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-474;DROOLS-1543;Major;Resolved;DMN ItemDefinition dependencies ordering;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-475;DROOLS-207;Minor;Closed;Transitive dependencies are not in sync with EAP: scannotation and xmlschema-core;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-476;DROOLS-622;Major;Resolved;DRLDumper does not output enum type declarations;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-477;JBRULES-2206;Major;Closed;Exists Foo() does not fire if facts inserted before rule;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-478;JBRULES-2850;Optional;Resolved;The class org.drools.DroolsTestCase exists twice (same full name): once in drools-core and once in drools-compiler. Yet it differs.;Reliability;1;0;0;0;0;0;0
DROOLS_PROJECT-479;DROOLS-1266;Major;Resolved;OOPath use with primitives does not return any match;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-480;DROOLS-839;Major;Resolved;Accumulate Function ClassCastException;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-481;DROOLS-1034;Major;Resolved;Kie server test improvement for Oracle RAC;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-482;DROOLS-305;Major;Resolved;ReleaseIdImpl implicitly required in KieBuilder implementation;FR;0;0;0;0;0;0;1
DROOLS_PROJECT-483;JBRULES-753;Major;Closed;Engine allows more than one rule with same name;FR;0;0;0;0;0;0;1
